Gene	interpro	Pfam	GO	PIRSF	Phobius	Gene3D	CDD	TMHMM	PANTHER	SUPERFAMILY	MobiDBLite	SignalP_EUK	ProSitePatterns	Coils	ProSiteProfiles	SMART	PATHWAY	TIGRFAM	SignalP_GRAM_POSITIVE	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-1.5-mRNA-1	IPR029063	PF02353	GO:0008610	PIRSF003085	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.150	cd02440	TMhelix	PTHR45197	SSF53335	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_551714_cov_24.697123-processed-gene-3.15-mRNA-1	IPR017986	PF00400	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR45589	SSF50978	mobidb-lite	NA	NA	NA	PS50294	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_501750_cov_22.809847-processed-gene-1.35-mRNA-1	IPR037525	PF11754	NA	NA	NA	G3DSA:2.60.40.3960	NA	NA	PTHR33572;PTHR33572:SF11	NA	mobidb-lite	NA	NA	NA	PS51821	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_185010_cov_24.500170-augustus-gene-0.8-mRNA-1	IPR001752	PF00225	GO:0003777;GO:0005524;GO:0007018;GO:0008017	NA	NA	G3DSA:3.40.850.10;G3DSA:1.10.150.280	cd00106	NA	PTHR24115;PTHR24115:SF725	SSF52540;SSF47781	mobidb-lite	NA	NA	NA	PS50067	SM00129	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	NA	PR00380	NA	NA	NA	NA
maker-NODE_34_length_270403_cov_23.853801-augustus-gene-0.11-mRNA-1	IPR006716	PF04622	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	TMhelix	PTHR10868	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_981326_cov_21.713968-augustus-gene-2.32-mRNA-1	IPR000626	PF17183;PF12754	GO:0005515	NA	NA	G3DSA:3.10.20.90;G3DSA:1.10.286.70	NA	NA	PTHR12650;PTHR12650:SF20	SSF54236	mobidb-lite	NA	NA	NA	PS50053	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_65_length_67783_cov_22.944262-processed-gene-0.13-mRNA-1	IPR025714	PF13847	NA	NA	NA	G3DSA:3.40.50.150	cd02440	NA	PTHR43464	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-6.20-mRNA-1	IPR003700	PF02548	GO:0003864;GO:0015940;GO:0003824	PIRSF000388	NA	G3DSA:3.20.20.60	cd06557	NA	PTHR20881;PTHR20881:SF0	SSF51621	mobidb-lite	NA	NA	NA	NA	NA	KEGG: 00770+2.1.2.11|MetaCyc: PWY-6654	TIGR00222	NA	NA	MF_00156	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-1.16-mRNA-1	IPR017105	PF01602	GO:0015031;GO:0030123;GO:0006886;GO:0016192;GO:0030117	PIRSF037092	NA	NA	NA	NA	PTHR22781	SSF48371	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_261643_cov_23.839092-augustus-gene-1.45-mRNA-1	IPR012677	PF00076	GO:0003676	NA	NA	G3DSA:3.30.70.330	cd12320;cd12568	NA	PTHR44220	SSF54928	mobidb-lite	NA	NA	Coil	PS50102	SM00360	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_537329_cov_23.536180-augustus-gene-1.19-mRNA-1	IPR029063	PF01189	GO:0003723;GO:0008168;GO:0016428	NA	NA	NA	NA	NA	PTHR22808;PTHR22808:SF1	SSF53335	mobidb-lite	NA	PS01153	Coil	PS51686	NA	Reactome: R-HSA-6782315	NA	NA	PR02008;PR02011	NA	NA	NA	NA
maker-NODE_23_length_483063_cov_24.362872-augustus-gene-3.48-mRNA-1	IPR032792	PF14699;PF14701;PF06202;PF14702	GO:0004134;GO:0004135;GO:0005980;GO:0003824;GO:0005978	NA	NA	G3DSA:3.20.20.80	cd11327	NA	PTHR10569	SSF51445;SSF48208	NA	NA	NA	Coil	NA	NA	KEGG: 00500+2.4.1.25|MetaCyc: PWY-5941|MetaCyc: PWY-6724|MetaCyc: PWY-6737|MetaCyc: PWY-7238|Reactome: R-HSA-6798695|Reactome: R-HSA-70221	TIGR01531	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_580193_cov_25.066322-augustus-gene-4.1-mRNA-1	IPR020861	PF00121	GO:0004807;GO:0006096;GO:0003824	NA	NA	G3DSA:3.20.20.70	cd00311	NA	PTHR21139;PTHR21139:SF15	SSF51351	NA	NA	PS00171	NA	PS51440	NA	KEGG: 00010+5.3.1.1|KEGG: 00051+5.3.1.1|KEGG: 00562+5.3.1.1|KEGG: 00710+5.3.1.1|MetaCyc: PWY-1042|MetaCyc: PWY-5484|MetaCyc: PWY-6142|MetaCyc: PWY-7003|Reactome: R-HSA-70171|Reactome: R-HSA-70263	TIGR00419	NA	NA	MF_00147_B	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-13.11-mRNA-1	IPR001498	PF01205	NA	NA	NA	G3DSA:3.30.230.30	NA	NA	PTHR16301:SF4;PTHR16301	SSF54211	mobidb-lite	NA	PS00910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-1.12-mRNA-1	IPR018108	PF00153	GO:0022857	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.50.40.10	NA	TMhelix	PTHR24089;PTHR24089:SF285	SSF103506	NA	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_1133640_cov_24.555234-processed-gene-7.42-mRNA-1	IPR001792	PF00708		NA	NA	G3DSA:3.30.70.100	NA	NA	NA	SSF54975	NA	NA	NA	NA	PS51160	NA	KEGG: 00620+3.6.1.7|KEGG: 00627+3.6.1.7	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_812477_cov_21.218138-processed-gene-3.27-mRNA-1	IPR024391	PF13002	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	G3DSA:2.60.40.640	NA	NA	PTHR11188:SF76;PTHR11188	SSF81296	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_596300_cov_26.438574-processed-gene-0.16-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-12.23-mRNA-1	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR33048	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_714536_cov_25.462417-augustus-gene-6.53-mRNA-1	IPR036390	PF01399;PF08375	GO:0030234;GO:0000502;GO:0042176	NA	NA	G3DSA:1.25.40.570	NA	NA	PTHR10758;PTHR10758:SF2	SSF46785	mobidb-lite	NA	NA	Coil	PS50250	SM00753;SM00088	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_530558_cov_24.609851-augustus-gene-3.0-mRNA-1	IPR033876	PF00026	GO:0004190;GO:0006508	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	G3DSA:2.40.70.10	cd05474	TMhelix	PTHR13683:SF326;PTHR13683	SSF50630	NA	SignalP-noTM	PS00141	NA	PS51767	NA	NA	NA	SignalP-TM	PR00792	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-6.11-mRNA-1	IPR016161	PF00171	GO:0016491;GO:0055114;GO:0016620	NA	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	NA	PTHR43353:SF6;PTHR43353	SSF53720	NA	NA	PS00070;PS00687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-14.7-mRNA-1	IPR019156	PF09759	NA	NA	NA	NA	NA	NA	PTHR13255	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_537329_cov_23.536180-augustus-gene-3.24-mRNA-1	IPR000198	PF00620;PF00611	GO:0007165	NA	NA	G3DSA:1.20.1270.60;G3DSA:1.10.555.10	cd07652	NA	PTHR23176	SSF48350;SSF103657	mobidb-lite	NA	NA	Coil	PS50238;PS51741	SM00324;SM00055	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA
maker-NODE_26_length_427138_cov_26.846437-augustus-gene-3.42-mRNA-1	IPR018712	PF09994	NA	NA	NA	NA	NA	NA	PTHR33840;PTHR33840:SF2	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_145751_cov_26.300624-augustus-gene-0.3-mRNA-1	IPR013898	PF08589	NA	NA	NA	NA	NA	NA	PTHR38699	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_58_length_79692_cov_25.973179-processed-gene-0.19-mRNA-1	IPR019328	PF10181	GO:0017176	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	PTHR15231;PTHR15231:SF1	NA	NA	NA	NA	NA	NA	NA	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-7.8-mRNA-1	IPR040112	NA	NA	NA	NA	NA	NA	NA	PTHR22934;PTHR22934:SF23	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_791590_cov_16.909850-augustus-gene-1.1-mRNA-1	IPR011583	PF00704	GO:0008061;GO:0004553;GO:0005975	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	G3DSA:3.10.50.10;G3DSA:3.20.20.80	cd06548	NA	PTHR11177;PTHR11177:SF303	SSF51445;SSF54556	NA	SignalP-noTM	PS01095	NA	NA	SM00636	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_7_length_981326_cov_21.713968-processed-gene-2.2-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_596300_cov_26.438574-processed-gene-4.78-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_427975_cov_24.897092-augustus-gene-0.26-mRNA-1	IPR016024	PF08161	NA	NA	NA	NA	NA	NA	PTHR21576;PTHR21576:SF2	SSF48371	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_26_length_427138_cov_26.846437-augustus-gene-1.25-mRNA-1	IPR005482	PF02786;PF01039;PF08326;PF02785;PF00364;PF00289	GO:0005524;GO:0016874;GO:0003989;GO:0006633;GO:0046872	NA	NA	G3DSA:3.90.226.10;G3DSA:3.30.1490.20;G3DSA:3.30.470.20;G3DSA:2.40.50.100;G3DSA:3.90.1770.10;G3DSA:3.40.50.12210;G3DSA:2.40.460.10	cd06850	NA	PTHR18866;PTHR18866:SF6	SSF52096;SSF51246;SSF56059;SSF51230;SSF52440	NA	NA	PS00867;PS00188;PS00866	Coil	PS50979;PS50989;PS50975;PS50980;PS50968	SM00878	Reactome: R-HSA-196780|Reactome: R-HSA-3371599	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_261643_cov_23.839092-augustus-gene-1.44-mRNA-1	IPR000818	PF01285	GO:0003700;GO:0006355	NA	NA	G3DSA:1.10.10.1610	NA	NA	PTHR11834	NA	mobidb-lite	NA	NA	NA	PS51088	SM00426	Reactome: R-HSA-2032785|Reactome: R-HSA-8951671	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_563110_cov_24.829048-processed-gene-3.0-mRNA-1	IPR000717	PF10602;PF01399	GO:0005515;GO:0000338;GO:0008180	NA	NA	G3DSA:1.25.40.570	NA	NA	PTHR14145;PTHR14145:SF2	SSF48452;SSF46785	mobidb-lite	NA	NA	NA	PS50250	SM00753;SM00088	Reactome: R-HSA-8951664	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_501750_cov_22.809847-processed-gene-0.14-mRNA-1	IPR015413	PF09334	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004825;GO:0006431	NA	NA	G3DSA:2.170.220.10;G3DSA:3.40.50.620;G3DSA:3.40.630.30;G3DSA:1.10.730.10	cd00814	NA	PTHR43326;PTHR43326:SF1	SSF52374;SSF47323	NA	NA	NA	NA	NA	NA	KEGG: 00450+6.1.1.10|KEGG: 00970+6.1.1.10	TIGR00398	NA	PR01041	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-7.29-mRNA-1	NA	NA	NA	NA	NA	G3DSA:1.20.5.170	cd14688	NA	PTHR40621	SSF57959	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_79692_cov_25.973179-augustus-gene-0.11-mRNA-1	IPR011989	PF11701	NA	NA	NA	G3DSA:1.25.10.10	NA	NA	PTHR22904;PTHR22904:SF490	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_981326_cov_21.713968-processed-gene-0.16-mRNA-1	IPR015257	PF09174	GO:0016480	PIRSF037240	NA	NA	NA	NA	PTHR22504:SF0;PTHR22504	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-8943724	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_530558_cov_24.609851-processed-gene-3.21-mRNA-1	IPR001126	PF00817;PF11799	GO:0006281;GO:0003684;GO:0003887	NA	NA	G3DSA:1.10.150.810;G3DSA:2.30.40.20;G3DSA:3.30.70.270;G3DSA:3.30.1490.100	cd03586	NA	PTHR11076;PTHR11076:SF51	SSF100879;SSF56672	mobidb-lite	NA	NA	Coil	PS50173	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_384920_cov_25.747976-augustus-gene-1.2-mRNA-1	IPR005225	PF01926;PF10396;PF12631	GO:0005525;GO:0005515;GO:0003924;GO:0005622;GO:0006400	NA	NA	G3DSA:3.30.1360.120;G3DSA:3.40.50.300;G3DSA:1.20.120.430	cd04164	NA	PTHR42714;PTHR42714:SF2	SSF52540	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6787450	TIGR00231	NA	NA	MF_00379	NA	NA	NA
maker-NODE_18_length_551714_cov_24.697123-augustus-gene-4.39-mRNA-1	IPR021833	PF11905	NA	NA	NA	NA	cd14688	NA	PTHR11462:SF39;PTHR11462	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_530916_cov_24.776642-processed-gene-4.32-mRNA-1	IPR012878	PF07944	NA	NA	NA	NA	NA	NA	PTHR31151:SF10;PTHR31151	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-1.27-mRNA-1	IPR002893	PF01753	NA	NA	NA	G3DSA:3.30.60.180	NA	NA	PTHR12197:SF168;PTHR12197	SSF144232	mobidb-lite	NA	NA	Coil	PS50865	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_638213_cov_25.283819-augustus-gene-5.0-mRNA-1	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	PTHR37451:SF3;PTHR37451	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_45_length_159524_cov_23.948726-processed-gene-0.50-mRNA-1	IPR025337	PF14027;PF03215	GO:0016491;GO:0005634;GO:0006281	NA	NA	G3DSA:3.40.50.300	NA	NA	PTHR12172;PTHR12172:SF0	SSF52540	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-176187|Reactome: R-HSA-5685938|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_981326_cov_21.713968-augustus-gene-2.28-mRNA-1	IPR038986	NA	GO:0006342;GO:0070824	NA	NA	NA	NA	NA	PTHR38046	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-3.8-mRNA-1	IPR006186	PF00149	GO:0016787	NA	NA	G3DSA:3.60.21.10	cd07416	NA	PTHR11668;PTHR11668:SF312	SSF56300	mobidb-lite	NA	PS00125	Coil	NA	SM00156	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	PR00114	NA	NA	NA	NA
maker-NODE_6_length_1086122_cov_24.848966-augustus-gene-6.18-mRNA-1	IPR001925	PF01459	GO:0005741;GO:0008308;GO:0098656;GO:0055085	NA	NA	G3DSA:2.40.160.10	cd07306	NA	PTHR11743;PTHR11743:SF23	NA	NA	NA	PS00558	NA	NA	NA	Reactome: R-HSA-5689880|Reactome: R-HSA-8949215	NA	NA	PR00185	NA	NA	NA	NA
maker-NODE_43_length_162590_cov_24.556791-augustus-gene-0.48-mRNA-1	IPR036291	PF00389;PF00106;PF02826	GO:0016616;GO:0051287;GO:0055114;GO:0016491	NA	NA	G3DSA:3.40.50.720	cd12169	NA	PTHR42789	SSF51735;SSF52283	NA	NA	PS00061;PS00065;PS00671	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
maker-NODE_2_length_1742724_cov_22.765721-augustus-gene-14.0-mRNA-1	IPR017986	PF04053;PF00400;PF06957	GO:0005515;GO:0005198;GO:0006886;GO:0016192;GO:0030117;GO:0030126	PIRSF003354	NA	G3DSA:1.25.40.470;G3DSA:2.130.10.10	cd00200	NA	PTHR19876:SF1;PTHR19876	SSF50978;SSF50969	mobidb-lite	NA	PS00678	NA	PS50294;PS50082	SM00320	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	NA	PR00320	NA	NA	NA	NA
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-6.1-mRNA-1	IPR005522	PF03770	GO:0016301;GO:0032958	NA	NA	NA	NA	NA	PTHR12400;PTHR12400:SF21	SSF56104	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_483063_cov_24.362872-processed-gene-3.3-mRNA-1	IPR009215	PF09370;PF03060	GO:0003824;GO:0018580;GO:0055114	PIRSF034452	NA	G3DSA:3.20.20.70	NA	NA	PTHR45568;PTHR45568:SF2	SSF51621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_392061_cov_26.495191-augustus-gene-2.66-mRNA-1	IPR007900	PF05236	GO:0005669;GO:0006352	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_1133640_cov_24.555234-processed-gene-1.28-mRNA-1	IPR004342	PF03124	GO:0016021	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR10783:SF46;PTHR10783	NA	NA	NA	NA	NA	PS51380	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_596300_cov_26.438574-processed-gene-0.14-mRNA-1	IPR026258	PF16969	GO:0005047;GO:0005786;GO:0006614;GO:0008312;GO:0030942;GO:0003723	PIRSF038995	NA	G3DSA:1.10.3450.40	cd15481	NA	PTHR12860	NA	mobidb-lite	NA	NA	Coil	NA	NA	Reactome: R-HSA-1799339	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_36_length_260573_cov_26.882064-processed-gene-1.9-mRNA-1	IPR015943	NA	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR16017	SSF50978	mobidb-lite	NA	PS00678	NA	PS50294;PS50082	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_981326_cov_21.713968-augustus-gene-5.31-mRNA-1	IPR016021	PF02854;PF04050	GO:0003723;GO:0005515;GO:0000184	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.25.40.180	NA	NA	PTHR12839	SSF48371	mobidb-lite	NA	NA	Coil	NA	SM00543	Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_530558_cov_24.609851-processed-gene-4.47-mRNA-1	IPR036047	PF12937	GO:0005515	NA	NA	G3DSA:1.20.1280.50	NA	NA	PTHR13252:SF9;PTHR13252	SSF81383	mobidb-lite	NA	NA	NA	PS50181	SM00256	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-2.18-mRNA-1	IPR039900	PF09770	GO:0000290	NA	NA	NA	NA	NA	PTHR21551;PTHR21551:SF0	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-9.30-mRNA-1	IPR001374	PF12752;PF01424	GO:0003676	NA	NA	G3DSA:3.30.1370.50	cd02642	NA	PTHR15672;PTHR15672:SF8	SSF82708	mobidb-lite	NA	NA	NA	PS51061;PS51673	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_483063_cov_24.362872-processed-gene-2.7-mRNA-1	IPR001650	PF00271;PF08797;PF00176	GO:0003676;GO:0008270;GO:0016818;GO:0005524	NA	NA	G3DSA:3.40.50.300;G3DSA:3.30.40.10;G3DSA:1.20.120.850	cd00079;cd00046	NA	PTHR10799:SF779;PTHR10799	SSF52540;SSF57850	mobidb-lite	NA	NA	NA	PS51192;PS51194;PS50089	SM00487;SM00910;SM00490	Reactome: R-HSA-8866654	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-1.21-mRNA-1	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	mobidb-lite	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-NODE_30_length_374380_cov_23.389282-augustus-gene-2.46-mRNA-1	IPR007015	PF04931	GO:0003677;GO:0005730;GO:0006355;GO:0008134	NA	NA	NA	NA	NA	PTHR13213	SSF48371	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-5250924	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-3.24-mRNA-1	IPR016555	PF13091;PF00787;PF00614	GO:0004630;GO:0006654;GO:0048017;GO:0003824;GO:0035091	PIRSF009376	NA	G3DSA:3.30.870.10	cd09138;cd01254;cd09141	NA	PTHR18896;PTHR18896:SF113	SSF56024	mobidb-lite	NA	NA	Coil	PS50035	SM00155	KEGG: 00564+3.1.4.4|KEGG: 00565+3.1.4.4|MetaCyc: PWY-3561|MetaCyc: PWY-7039|Reactome: R-HSA-1483148|Reactome: R-HSA-1483166|Reactome: R-HSA-2029485	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_25_length_427975_cov_24.897092-processed-gene-3.10-mRNA-1	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
